title,price,direction,seller,expenses,warranty,,
Complejo cerrado /  seguridad /  3 dorm /  cochera /  balcón /  asador, $ 20.000 ,Los Pinos 4000  Bº Matienzo,B + C ASESORAMIENTOS INMOBILIARIOS, Expensas $3500 ,,,
"complejo cerrado,  3 dor ,  coc sep,  liv / com,  baño,  ante baño,  coche", $ 19.500 ,27 de abril  4295  Bº San Salvador,INMOBILIARIA SAN PEDRO,expensas: $4.800,,,
Copia de ALQUILO CASA 3 DORMITORIOS B° ITUZAINGO, Consultar ,GUAYACANES 6538  Bº Los Sauces,,,,,
DEPARTAMENTO 3 DORM ALBERDI, $ 23.000 ,27 de abril 1797  Bº Alberdi,,,,,
Departamento 3 dormitorios c / cochera barrio General Paz frente al Ri, $ 26.000 ,24 de Septiembre 715,, Expensas $dpto y cochera $ 5585 ,,,
Departamento 3 dormitorios Centro, $ 21.500 ,Jujuy 124  Bº Centro,Soledad Olivieri & Cia.,expensas $5.900,,,
Departamento 3 dormitorios centro, $ 19.000 ,San Jerónimo  200  Bº Centro,CORDOBA INVERSIONES Inmuebles, Expensas $4000 ,,,
Departamento Alquiler 3 Dormitorios , $ 22.000 ,Belgrano 103  Bº Centro,Matias Sugasti, Expensas $3120 ,,,
Departamento Altos de Villa Sol, Consultar ,Bº Altos de Villa Sol,,expensas - servicios,,,
Departamento en Alquiler - 3 Dormitorios - Barrio Guemes , $ 26.000 ,Av. Pueyrredón 675  Bº Guemes,Distrito Inmobiliario,,,,
Departamento en Alquiler - 3 Dormitorios - Barrio San Vicente, $ 23.000 ,San Jeronimo  2627  Bº San Vicente,Distrito Inmobiliario,,,,
"Departamento en Alquiler 2 dor y medio,  exter,  amplio y comodo cocina separada", $ 26.000 ,Av Pueyrredon  74  Bº Nueva Córdoba,Juan Fiorello, Expensas $6000 ,,,
DEPARTAMENTO EN ALQUILER 3 DORMITORIOS COMPLEJO CERRADO, $ 30.000 ,Rimini 730  Bº San Isidro,MAER INVERSIONES INMOBILIARIAS,,,,
Departamento en alquiler en Bv. Illia al 200, $ 25.000 ,Bv. Illia 272  Bº Centro,JD HONIGMAN NEGOCIOS INMOBILIARIOS, Expensas $17500 ,"garantias: recibos de sueldo, o certificación de ingresos mas garantia propietaria.",,
"Departamento en Alquiler,  Alberdi,  3 dormitorios", $ 25.000 ,La Rioja 2222  Bº Alberdi,"JB SRUR, La Inmobiliaria de Córdoba",,,,
DEPARTAMENTO U OFICINA A LA VENTA EN GRAL PAZ, $ 30.000 ,24 de septiembre 761,CONTIGIANI BRIÑON,,,,
Departamentos | Alquileres Ofrecidos | 3 dormitorios, $ 18.000 ,Entre Rios 1700  Bº Otro,Carlos Ponce De León Servicios Inmobiliarios,,,,
Depto 3 dor Av Colon 675 !!!, $ 25.000 ,Av. Colón 675  Bº Centro,Salsadella Negocios Inmobiliarios,"agua, municipalidad y expensas $18promedio)",,,
DEPTO C BALCON(3)APTO VIVIENDA Y ESTUDIO JURIDICOC VISTA A LA CAÑADA, Consultar ,Bº Centro,,,,,
DEPTO EN ALQUILER 3DORM CON COCHERA /  COLON 575 , $ 30.000 ,Av. Colon 575  Bº Centro,Circulo Inmobiliario,alquiler primer año $30.000 + expensas depto  $7.800 + expensas cochera $1.120 + servicios.,,,
"Depto. 3 Dorm. Estar com,  coc / lav exp bajas", $ 14.000 ,Colon  2372  Bº Alberdi,,expensas 3100,,,
DPTO 3 DORMITORIOS $18.000 AV. SABATTINI, $ 18.000 ,AV. SABATTINI  2074  Bº Crisol Sud,Maipu Inmobiliaria,"hermoso departamento 3 dormitorios amplio luminoso , cocina comedor , living comedor , 2 baño ,lavaderointerno ,patio de invierno ...(no mascotas ) expensas $2.500...comunicarse de lunes a viernes de 9 a 19 recibimos whats app",,,
DPTO ALQUILER 3 DORMITORIOS SOBRE CAÑADA BARRIO GUEMES, $ 14.000 ,MARCELO T. DE ALVEAR 855  Bº Nueva Córdoba,YUKON Servicios Inmobiliarios,expensas ordinarias $9.900 promedio mensual aproximado,,,
